Nom du produit	Prix (EUR)	Quantité	Catégorie
Chargeur universel	39.99	40	Accessoires
Boîte à outils numériques	59.99	25	Bureautique
Clé USB 128Go	29.99	80	Stockage
Microprojecteur	299.99	5	Informatique
Support pour tablette	19.99	60	Accessoires
Répéteur WiFi	49.99	35	Informatique
Chargeur sans fil	29.99	50	Téléphonie
Enregistreur vocal	79.99	20	Accessoires
Switch HDMI	39.99	30	Accessoires
Multiprise intelligente	59.99	15	Bureautique
Contrôleur MIDI	199.99	10	Design
Amplificateur audio	149.99	15	Accessoires
Caméra thermique	499.99	5	Accessoires
Étui pour smartphone	14.99	100	Téléphonie
Rallonge électrique	19.99	70	Accessoires
Disque SSD externe	199.99	10	Stockage
Clavier sans fil	49.99	50	Périphériques
Enceintes de monitoring	299.99	10	Accessoires
Routeur mesh	149.99	15	Informatique
Support pour moniteur	49.99	25	Périphériques
